md5,doi,url,license,formatted,possible_authorship,possible_citation,print_date,keywords,created,specimens,orcids,countries
61c749bf9a74f79723cb8a00bc8623ac,10.1038/s41598-018-21924-7,https://www.nature.com/articles/s41598-018-21924-7,cc-by,"Zheng, W., Jin, X., Azuma, Y., Wang, Q., Miyata, K., & Xu, X. (2018). The most basal ankylosaurine dinosaur from the Albian–Cenomanian of China, with implications for the evolution of the tail club. Scientific Reports, 8(1). doi:10.1038/s41598-018-21924-7
",false,true,2018-12,palaeontology,2018-03-03,CMN 2759,"","China,Japan"
27814a63cff3122e012fe2ede7c28556,10.1186/s12859-018-2201-7,https://doi.org/10.1186/s12859-018-2201-7,cc-by,"Wittich, H.C., Seeland, M., Wäldchen, J., Rzanny, M. & Mäder, P. 2018. Recommending plant taxa for supporting on-site species identification. BMC Bioinformatics, 19, doi: 10.1186/s12859-018-2201-7.
",false,false,2018-12,botany,2018-08-03,"","",Germany
a554ca10e7fc57a150adc557dcd9757f,10.1186/s40494-018-0225-y,https://link.springer.com/article/10.1186/s40494-018-0225-y,cc-by,"Ligterink, F. & Di Pietro, G. 2018. The limited impact of acetic acid in archives and libraries. Heritage Science, 6, doi: 10.1186/s40494-018-0225-y.
",,,2018-12,other,2018-10-16,"","","Netherlands,Switzerland"
636a4eaa71c4d6a7a95267abc4a8a45b,10.1038/s41598-017-18703-1,https://www.nature.com/articles/s41598-017-18703-1,,"Wang, S., Zhang, Q. & Yang, R. 2018. Reevaluation of the Dentary Structures of Caenagnathid Oviraptorosaurs (Dinosauria, Theropoda). Scientific Reports, 8, doi: 10.1038/s41598-017-18703-1.
",,,2018-12,palaeontology,2018-01-16,CMN 8776,"",China
20bc69ac9836b897983c6173c9736fec,10.1016/j.ygcen.2018.08.011,https://www.sciencedirect.com/science/article/pii/S0016648018302375,,"Stewart, N. D., Reilly, A., Gilman, C., Mastromonaco, G. F., & Burness, G. (2018). Evidence of degradation of hair corticosterone in museum specimens. General and Comparative Endocrinology, 268, 128–133. doi:10.1016/j.ygcen.2018.08.011
",false,false,2018-11,other,2018-08-14,"","",Canada
4e186c1774bc9ae261c07638583f8c36,10.1016/j.marenvres.2018.09.018,https://www.sciencedirect.com/science/article/pii/S0141113618304719,,"Todd, V. L. G., Lavallin, E. W., & Macreadie, P. I. (2018). Quantitative analysis of fish and invertebrate assemblage dynamics in association with a North Sea oil and gas installation complex. Marine Environmental Research, 142, 69–79. doi:10.1016/j.marenvres.2018.09.018
",false,false,2018-11,zoology,2018-09-25,"","","United Kingdom,Australia"
d534ce2e615619597f5c32dc4317c04d,10.7717/peerj.5776,https://peerj.com/articles/5776/,cc-by,"Delsett, L.L., Druckenmiller, P.S., Roberts, A.J. & Hurum, J.H. 2018. A new specimen of Palvennia hoybergeti: implications for cranial and pectoral girdle anatomy in ophthalmosaurid ichthyosaurs. PeerJ, 6, e5776, doi: 10.7717/peerj.5776.
",,,2018-10-12,palaeontology,2018-10-16,"","","Norway,United States of America,United Kingdom"
37bbddd56bca4dee6d1ec36d1b175115,10.11646/zootaxa.4497.3.1,,,"ANDERSON, R.S. 2018. The genus Sicoderus Vanin 1986 (Coleoptera: Curculionidae: Curculioninae: Erodiscini) in the West Indies. Zootaxa, 4497, 301, doi: 10.11646/zootaxa.4497.3.1.
",true,false,2018-10-09,zoology,2018-10-11,"","",Canada
1c88b8430153c85b3ecf393c6f9c9a15,10.1111/jeb.13386,https://onlinelibrary.wiley.com/doi/abs/10.1111/jeb.13386,,"Roulin, A., Uva, V. & Romano, A. 2018. A melanin-based trait is more strongly related to body size in the tropics than in temperate regions in the globally distributed barn owl family. Journal of Evolutionary Biology, 31, 1932–1944, doi: 10.1111/jeb.13386.
",false,false,2018-10-06,zoology,2018-10-09,"",0000-0003-1940-6927,"Switzerland,Germany"
7ee0dc9294356f1567c3c3494b90b863,10.1139/cjz-2017-0360,http://www.nrcresearchpress.com/doi/pdf/10.1139/cjz-2017-0360,,"Martel, A.L. & Madill, J.B. 2018. Twenty-six years (1990–2015) of monitoring annual recruitment of the invasive zebra mussel (Dreissena polymorpha) in the Rideau River, a small river system in Eastern Ontario, Canada. Canadian Journal of Zoology, 96, 1071–1079, doi: 10.1139/cjz-2017-0360.
",true,true,2018-10-03,"zoology,selected",2018-10-04,"","",Canada
a3c8c0a55aa52f304ad57e898b5ac904,10.3897/zookeys.787.26948,https://zookeys.pensoft.net/article/26948/download/pdf/,,"Anderson, R.S. & Caterino, M.S. 2018. A revision of the genus Eurhoptus LeConte, 1876 (Curculionidae, Cryptorhynchinae) of America north of Mexico. ZooKeys, 787, 37–80, doi: 10.3897/zookeys.787.26948.
",true,false,2018-10-02,zoology,2018-10-04,"","","Canada,United States of America"
3867ce7f0200ab53b452d28a5cc4a28e,10.1016/j.envsci.2018.06.020,https://www.sciencedirect.com/science/article/pii/S1462901118303988,,"Hart, R.J. 2018. Salmon, science, and conservation: Organizational power and the listing and recovery planning of an endangered species. Environmental Science & Policy, 88, 124–133, doi: 10.1016/j.envsci.2018.06.020.
",false,true,2018-10,"zoology,selected",2018-07-17,"","",Canada
4b231351aa125046c49deefe516843fe,10.1016/j.cretres.2018.09.015,https://www.sciencedirect.com/science/article/pii/S0195667118300570,,"Li, C., Wu, X.-C. & Rufolo, S.J. 2019. A new crocodyloid (Eusuchia: Crocodylia) from the Upper Cretaceous of China. Cretaceous Research, 94, 25–39, doi: 10.1016/j.cretres.2018.09.015.
",true,false,2018-10,palaeontology,2018-10-14,CMN 35758,"",Canada
be19ee65dd6488fa6a46436800e76b4b,10.3897/zookeys.785.26674,,,"Anderson, R.S. 2018. 
          Purealus beckelorum, a new genus and species of cleonine weevil from western Texas and eastern New Mexico (Coleoptera, Curculionidae, Lixinae, Cleonini). ZooKeys, 785, 1–10, doi: 10.3897/zookeys.785.26674.
",true,true,2018-09-13,zoology,2018-09-14,"","",Canada
66378c37c032f80d87cede7528cee47e,10.1177/0959683618798130,http://journals.sagepub.com/doi/abs/10.1177/0959683618798130,,"Bourgeois-Roy, A., Crites, H., Bernatchez, P., Lacelle, D. & Martel, A. 2018. Abrupt mortality of marine invertebrates at the Younger Dryas-Holocene transition in a shallow inlet of the Goldthwait Sea. The Holocene, 28, 1894–1908, doi: 10.1177/0959683618798130.
",true,,2018-09-10,zoology,2018-09-15,"","",Canada
d17062fe439c87e09843d74cf764a150,10.3897/phytokeys.108.27284,https://phytokeys.pensoft.net/article_preview.php?id=27284,cc-by,"Montero Muñoz, I., Cardiel, J.M. & Levin, G.A. 2018. Nomenclatural review of Acalypha (Euphorbiaceae) of the Western Indian Ocean Region (Madagascar, the Comoros Archipelago, the Mascarene Islands and the Seychelles Archipelago). PhytoKeys, 108, 85–116, doi: 10.3897/phytokeys.108.27284.
",true,,2018-09-10,botany,2018-09-15,"","","Spain,United States of America,Canada"
b8f4ace9376794f89206280540243a26,10.3897/phytokeys.108.27284,https://phytokeys.pensoft.net/article/27284/download/pdf/,,"Montero Muñoz, I., Cardiel, J. M., & Levin, G. A. (2018). Nomenclatural review of Acalypha (Euphorbiaceae) of the Western Indian Ocean Region (Madagascar, the Comoros Archipelago, the Mascarene Islands and the Seychelles Archipelago). PhytoKeys, 108, 85–116. doi:10.3897/phytokeys.108.27284
",true,false,2018-09-10,botany,2018-09-15,"","","Spain,United States of America,Canada"
99724ac8f548ecc13adc5e8ce53aebe8,10.1139/AS-2018-0008,http://www.nrcresearchpress.com/doi/pdfplus/10.1139/AS-2018-0008,,"Domine, F., Gauthier, G., Vionnet, V., Fauteux, D., Dumont, M. & Barrere, M. 2018. Snow physical properties may be a significant determinant of lemming population dynamics in the high Arctic. Arctic Science, 4, 813–826, doi: 10.1139/as-2018-0008.
",true,false,2018-09-07,zoology,2018-09-11,"","","Canada,France"
fd04a7ac89071960fb83583651489bde,10.11646/zootaxa.4471.2.3,http://mail.insectbiodiversity.org/j/zt/article/view/zootaxa.4471.2.3,,"SMITH, A.B.T. & EVANS, A.V. 2018. Taxonomic review of Athliini (Coleoptera: Scarabaeidae: Melolonthinae), a new tribe of scarab beetles endemic to South America. Zootaxa, 4471, 279, doi: 10.11646/zootaxa.4471.2.3.
",true,false,2018-09-05,"zoology,selected",2018-09-08,"","","Canada,United States of America"
d055d6292dc09fe541f8f72b3b995692,10.4039/tce.2018.32,https://www.cambridge.org/core/journals/canadian-entomologist/article/revision-of-the-taxonomy-and-distribution-of-the-neotropical-copris-incertus-species-complex-coleoptera-scarabaeidae-scarabaeinae/3E2853A214A88F3BB896D3CF6D22C7A3,,"Darling, J.D.G. & Génier, F. 2018. Revision of the taxonomy and distribution of the Neotropical Copris incertus species complex (Coleoptera: Scarabaeidae: Scarabaeinae). The Canadian Entomologist, 150, 539–577, doi: 10.4039/tce.2018.32.
",true,,2018-09-04,zoology,2018-09-08,"","",Canada
bdfa0b023842f431f0c0688d0b28e347,10.1093/isd/ixy011,https://academic.oup.com/isd/article-abstract/2/5/2/5092453,,"Anderson, R.S. 2018. A Revision of the Weevil Genus Phyxelis Schönherr 1843 (Coleoptera: Curculionidae; Entiminae; Tropiphorini) in North America. Insect Systematics and Diversity, 2, doi: 10.1093/isd/ixy011.
",true,,2018-09-01,zoology,2018-09-15,"","",Canada
01f280fd7d3c58aeb3d6298cb7381eb5,10.1016/j.jaa.2018.05.004,https://www.sciencedirect.com/science/article/pii/S0278416517301721,,"Norman, L.E.Y. 2018. Ethnohistoric documents as analogical tools: A case study from northwest Alaska. Journal of Anthropological Archaeology, 51, 1–15, doi: 10.1016/j.jaa.2018.05.004.
",false,false,2018-09,other,2018-05-27,"","",Canada
9918c9783bade51a31cb7dd9b06d334b,10.1016/j.jaa.2018.06.004,https://www.sciencedirect.com/science/article/pii/S0278416518300011,,"Losey, R.J., Nomokonova, T., Gusev, A.V., Bachura, O.P., Fedorova, N.V., Kosintsev, P.A. & Sablin, M.V. 2018. Dogs were domesticated in the Arctic: Culling practices and dog sledding at Ust’-Polui. Journal of Anthropological Archaeology, 51, 113–126, doi: 10.1016/j.jaa.2018.06.004.
",,,2018-09,other,2018-06-26,"","","Canada,Russia"
5129431f80f638f3b51e24c8866dcf6a,10.1139/cjb-2018-0042,http://www.nrcresearchpress.com/doi/abs/10.1139/cjb-2018-0042,,"McMullin, R.T., Maloles, J.R., Selva, S.B. & Newmaster, S.G. 2018. A synopsis of Chaenotheca in North America, including a new species from southern Ontario, C. selvae, supported by morphometric analyses. Botany, 96, 547–553, doi: 10.1139/cjb-2018-0042.
",true,false,2018-09,botany,2018-09-02,"","","Canada,United States of America"
8c0270ffd9898b4bf43b7f52a098529a,10.1139/cjb-2018-0027,http://www.nrcresearchpress.com/doi/abs/10.1139/cjb-2018-0027,,"Mastin, J.E., Anthamatten, P. & Bruederle, L.P. 2018. Climatic niche modeling reveals divergence between cytotypes in Eutrema edwardsii (Brassicaceae). Botany, 96, 813–823, doi: 10.1139/cjb-2018-0027.
",false,false,2018-08-21,botany,2018-08-25,"CAN 313172, CAN 368128, CAN 393556, CAN 485348, CAN 485399, CAN 489895, CAN 495845, CAN 499847, CAN 502561, CAN 518023, CAN 549967, CAN 556043, CAN 565077, CAN 583723, CAN 583724, CAN 585152, CAN 592858, CAN 592906, CAN 595263, CAN 595455, CAN 595610, CAN 598293, CAN 598294, CAN 598295, CAN 598296, CAN 599424, CAN 599425, CAN 599427, CAN 601820, CAN 601821, CAN 601824, CAN 601825","",United States of America
e0c1aaa5e628980264845e438c43519e,10.3390/hydrology5030046,http://www.mdpi.com/2306-5338/5/3/46/htm,cc-by,"Fassnacht, S., Allegretti, A., et al. 2018. Merging Indigenous Knowledge Systems and Station Observations to Estimate the Uncertainty of Precipitation Change in Central Mongolia. Hydrology, 5, 46, doi: 10.3390/hydrology5030046.
",false,true,2018-08-19,other,2018-09-02,"","","United States of America,Germany,Mongolia"
34b92dcbc75b7e3f6d6e77065110d400,10.1111/jeb.13368,https://onlinelibrary.wiley.com/doi/abs/10.1111/jeb.13368,,"Stelbrink, B., Jovanovska, E., Levkov, Z., Ognjanova-Rumenova, N., Wilke, T. & Albrecht, C. 2018. Diatoms do radiate: evidence for a freshwater species flock. Journal of Evolutionary Biology, 31, 1969–1975, doi: 10.1111/jeb.13368.
",false,false,2018-08-16,zoology,2018-08-21,"",0000-0002-7471-4992,"Germany,Macedonia,Bulgaria"
e3f1c0fa6aa8e93db49dbec10190aa9b,10.3897/phytokeys.108.26277,https://phytokeys.pensoft.net/article/26277/download/pdf/,,"Bahls, L. 2018. Evidence from checklists for a Holarctic (circumboreal) kingdom of diatoms. PhytoKeys, 108, 13–24, doi: 10.3897/phytokeys.108.26277.
",false,false,2018-08-13,botany,2018-08-16,"","",United States of America
a7a15cea5994780dba49fbcd012c0dba,10.1007/s11269-018-2081-7,https://link.springer.com/article/10.1007/s11269-018-2081-7,,"Zhi, Y., Hamilton, P.B., Wang, X., Zhang, Z. & Liang, L. 2018. Game Theory Analysis of the Virtual Water Strategy. Water Resources Management, 32, 4747–4761, doi: 10.1007/s11269-018-2081-7.
",true,true,2018-08-13,"botany,selected",2018-08-16,"","","China,Canada"
eee86ea9cb4e2b5f6b762c726640ff63,10.3390/d10030084,http://www.mdpi.com/1424-2818/10/3/84/htm,cc-by,"Hespenheide, H. 2018. A Review of Philenis Champion, 1906 (Coleoptera: Curculionidae: Conoderinae), with Descriptions of New Species from Central and South America. Diversity, 10, 84, doi: 10.3390/d10030084.
",false,false,2018-08-08,zoology,2018-09-05,"","",United States of America
c785a7716c7a104b878ac5bb91b94ac2,10.3390/d10030083,http://www.mdpi.com/1424-2818/10/3/83/htm,cc-by,"Anderson, R., Oberprieler, R. & Setliff, G. 2018. Validation of the Names of Five Weevil Taxa Described by Anderson et al., A Review of the Araucaria-Associated Weevils of the Tribe Orthorhinini (Coleoptera: Curculionidae: Molytinae), with Description of New Species of Ilacuris Pascoe, 1865 and Notopissodes Zimmerman & Oberprieler, 2014 and a New Genus, Kuschelorhinus Anderson & Setliff; Diversity, 2018, 10, 54. Diversity, 10, 83, doi: 10.3390/d10030083.
",true,true,2018-08-07,zoology,2018-09-05,"","","Canada,Australia,United States of America"
